
[LoadTester] [2026-06-26 23:48:34 / ERROR /         1] BadValue(HP/Coord) | uid=1174 idx=1173 | CREATE_MY x=365480 y=401410 hp=-8401
[LoadTester] [2026-06-26 23:49:26 / ERROR /        71] BadValue(HP/Coord) | uid=2275 idx=2274 | CREATE_MONSTER id=2277 hp=29590/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        72] BadValue(HP/Coord) | uid=1991 idx=1990 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        73] BadValue(HP/Coord) | uid=2275 idx=2274 | CREATE_MONSTER id=2277 hp=29590/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        74] BadValue(HP/Coord) | uid=2324 idx=2323 | CREATE_MONSTER id=2277 hp=29551/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        75] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        76] BadValue(HP/Coord) | uid=2324 idx=2323 | CREATE_MONSTER id=2277 hp=29551/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        77] BadValue(HP/Coord) | uid=2187 idx=2186 | CREATE_MONSTER id=2277 hp=29551/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        78] BadValue(HP/Coord) | uid=1897 idx=1896 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        79] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:27 / ERROR /        80] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        81] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        82] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        83] BadValue(HP/Coord) | uid=2325 idx=2324 | CREATE_MONSTER id=2277 hp=29551/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        84] BadValue(HP/Coord) | uid=1806 idx=1805 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        85] BadValue(HP/Coord) | uid=1394 idx=1393 | CREATE_MONSTER id=1475 hp=3831/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        86] BadValue(HP/Coord) | uid=1394 idx=1393 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:28 / ERROR /        87] BadValue(HP/Coord) | uid=1515 idx=1514 | CREATE_MONSTER id=1475 hp=3831/160
[LoadTester] [2026-06-26 23:49:29 / ERROR /        88] BadValue(HP/Coord) | uid=1848 idx=1847 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:29 / ERROR /        89] BadValue(HP/Coord) | uid=1475 idx=1474 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:29 / ERROR /        90] BadValue(HP/Coord) | uid=1511 idx=1510 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        91] BadValue(HP/Coord) | uid=1549 idx=1548 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        92] BadValue(HP/Coord) | uid=1512 idx=1511 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        93] BadValue(HP/Coord) | uid=1477 idx=1476 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        94] BadValue(HP/Coord) | uid=1511 idx=1510 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        95] BadValue(HP/Coord) | uid=1474 idx=1473 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:30 / ERROR /        96] BadValue(HP/Coord) | uid=1475 idx=1474 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:31 / ERROR /        97] BadValue(HP/Coord) | uid=2231 idx=2230 | CREATE_MONSTER id=2277 hp=29528/160
[LoadTester] [2026-06-26 23:49:31 / ERROR /        98] BadValue(HP/Coord) | uid=2232 idx=2231 | CREATE_MONSTER id=2277 hp=29528/160
[LoadTester] [2026-06-26 23:49:31 / ERROR /        99] BadValue(HP/Coord) | uid=1478 idx=1477 | CREATE_MONSTER id=1475 hp=3793/160
[LoadTester] [2026-06-26 23:49:31 / ERROR /       100] SpawnTimeout | uid=1 idx=0 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       101] SpawnTimeout | uid=2 idx=1 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       102] SpawnTimeout | uid=3 idx=2 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       103] SpawnTimeout | uid=4 idx=3 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       104] SpawnTimeout | uid=5 idx=4 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       105] SpawnTimeout | uid=6 idx=5 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       106] SpawnTimeout | uid=7 idx=6 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       107] SpawnTimeout | uid=8 idx=7 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       108] SpawnTimeout | uid=9 idx=8 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       109] SpawnTimeout | uid=10 idx=9 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       110] SpawnTimeout | uid=11 idx=10 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       111] SpawnTimeout | uid=12 idx=11 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       112] SpawnTimeout | uid=13 idx=12 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       113] SpawnTimeout | uid=14 idx=13 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       114] BadValue(HP/Coord) | uid=1439 idx=1438 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:31 / ERROR /       115] SpawnTimeout | uid=15 idx=14 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       116] SpawnTimeout | uid=16 idx=15 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       117] SpawnTimeout | uid=17 idx=16 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       118] SpawnTimeout | uid=18 idx=17 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       119] SpawnTimeout | uid=19 idx=18 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:31 / ERROR /       120] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:32 / ERROR /       121] SpawnTimeout | uid=20 idx=19 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       122] SpawnTimeout | uid=21 idx=20 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       123] SpawnTimeout | uid=22 idx=21 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       124] SpawnTimeout | uid=23 idx=22 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       125] SpawnTimeout | uid=24 idx=23 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       126] SpawnTimeout | uid=25 idx=24 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       127] SpawnTimeout | uid=26 idx=25 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       128] SpawnTimeout | uid=27 idx=26 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       129] SpawnTimeout | uid=28 idx=27 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       130] SpawnTimeout | uid=29 idx=28 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       131] SpawnTimeout | uid=30 idx=29 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       132] SpawnTimeout | uid=31 idx=30 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       133] SpawnTimeout | uid=32 idx=31 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       134] SpawnTimeout | uid=33 idx=32 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       135] SpawnTimeout | uid=34 idx=33 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       136] SpawnTimeout | uid=35 idx=34 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       137] SpawnTimeout | uid=36 idx=35 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       138] SpawnTimeout | uid=37 idx=36 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       139] SpawnTimeout | uid=38 idx=37 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       140] SpawnTimeout | uid=39 idx=38 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       141] SpawnTimeout | uid=40 idx=39 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       142] SpawnTimeout | uid=41 idx=40 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       143] SpawnTimeout | uid=42 idx=41 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       144] SpawnTimeout | uid=43 idx=42 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       145] SpawnTimeout | uid=44 idx=43 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       146] SpawnTimeout | uid=45 idx=44 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:32 / ERROR /       147] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       148] SpawnTimeout | uid=46 idx=45 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       149] SpawnTimeout | uid=47 idx=46 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       150] SpawnTimeout | uid=48 idx=47 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       151] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       152] SpawnTimeout | uid=49 idx=48 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       153] SpawnTimeout | uid=50 idx=49 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       154] SpawnTimeout | uid=51 idx=50 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       155] SpawnTimeout | uid=52 idx=51 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       156] BadValue(HP/Coord) | uid=2278 idx=2277 | CREATE_MONSTER id=2277 hp=29509/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       157] SpawnTimeout | uid=53 idx=52 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       158] SpawnTimeout | uid=54 idx=53 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       159] SpawnTimeout | uid=55 idx=54 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:33 / ERROR /       160] BadValue(HP/Coord) | uid=1992 idx=1991 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       161] BadValue(HP/Coord) | uid=1510 idx=1509 | CREATE_MONSTER id=1475 hp=3755/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       162] BadValue(HP/Coord) | uid=1510 idx=1509 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       163] BadValue(HP/Coord) | uid=1476 idx=1475 | CREATE_MONSTER id=1475 hp=3755/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       164] BadValue(HP/Coord) | uid=1513 idx=1512 | CREATE_MONSTER id=1475 hp=3755/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       165] BadValue(HP/Coord) | uid=1551 idx=1550 | CREATE_MONSTER id=1475 hp=3755/160
[LoadTester] [2026-06-26 23:49:33 / ERROR /       166] BadValue(HP/Coord) | uid=1549 idx=1548 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:34 / ERROR /       167] BadValue(HP/Coord) | uid=1510 idx=1509 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:34 / ERROR /       168] BadValue(HP/Coord) | uid=2278 idx=2277 | CREATE_MONSTER id=2277 hp=29509/160
[LoadTester] [2026-06-26 23:49:34 / ERROR /       169] SpawnTimeout | uid=56 idx=55 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       170] SpawnTimeout | uid=57 idx=56 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       171] SpawnTimeout | uid=58 idx=57 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       172] SpawnTimeout | uid=59 idx=58 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       173] SpawnTimeout | uid=60 idx=59 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       174] SpawnTimeout | uid=61 idx=60 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       175] SpawnTimeout | uid=62 idx=61 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       176] SpawnTimeout | uid=63 idx=62 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       177] SpawnTimeout | uid=64 idx=63 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       178] SpawnTimeout | uid=65 idx=64 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       179] SpawnTimeout | uid=66 idx=65 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       180] SpawnTimeout | uid=67 idx=66 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       181] SpawnTimeout | uid=68 idx=67 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       182] SpawnTimeout | uid=69 idx=68 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       183] SpawnTimeout | uid=70 idx=69 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       184] SpawnTimeout | uid=71 idx=70 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       185] SpawnTimeout | uid=72 idx=71 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       186] SpawnTimeout | uid=73 idx=72 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       187] SpawnTimeout | uid=74 idx=73 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       188] SpawnTimeout | uid=75 idx=74 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 23:49:34 / ERROR /       189] BadValue(HP/Coord) | uid=1477 idx=1476 | CREATE_MONSTER id=1475 hp=3755/160
